timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual
Test 2,25-04-2022,2156016WSTTL-VL,4L4220224230016,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.9,4.8,3,1.46,1,3,0.48,1,3,0.84,1,3,1.13,1.9,2.7,2.24,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L42202242432224,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.31,4.8,3,1.79,1,3,0.49,1,3,1.06,1,3,1.15,1.9,2.7,2.15,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L4220224241193,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.11,7.5,3,1.97,1,3,0.41,1,3,0.63,1,3,0.96,1.36,1.72,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L42202242320379,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.42,7.5,3,1.9,1,3,0.42,1,3,0.61,1,3,0.93,1.36,1.72,1.52,,,,,,,,,,,,,,,1.095,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L42202242431049,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.24,4.8,3,1.72,1,3,0.48,1,3,0.98,1,3,1.16,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L42202242431159,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.19,4.8,3,1.27,1,3,0.48,1,3,0.93,1,3,1.18,1.9,2.7,2.37,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L422022424111147,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.11,7.5,3,1.91,1,3,0.4,1,3,0.62,1,3,0.95,1.36,1.72,1.57,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L42202242432413,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.21,4.8,3,1.58,1,3,0.48,1,3,1.04,1,3,1.15,1.9,2.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,26-04-2022,2156016WSTTL-VL,4L42202242425724,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.38,4.8,3,1.52,1,3,0.47,1,3,0.9,1,3,1.13,1.9,2.7,2.22,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,28-04-2022,2156016WSTTL-VL,4L42202242518232Z,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.31,7.5,3,1.7,1,3,0.4,1,3,0.63,1,3,0.92,1.36,1.72,1.47,,,,,,,,,,,,,,,1.095,,,,,,,,,
Test 2,29-04-2022,2156016WSTTL-VL,4L42202242518232Z,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.31,7.5,3,1.7,1,3,0.4,1,3,0.63,1,3,0.92,1.36,1.72,1.47,,,,,,,,,,,,,,,1.095,,,,,,,,,
Test 2,28-04-2022,2156016WSTTL-VL,4L422022427143335,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.64,4.8,3,1.53,1,3,0.5,1,3,1,1,3,1.18,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,29-04-2022,2156016WSTTL-VL,4L422022427143335,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.64,4.8,3,1.53,1,3,0.5,1,3,1,1,3,1.18,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,29-04-2022,2156016WSTTL-VL,4L42202242714293,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.74,4.8,3,1.54,1,3,0.51,1,3,1,1,3,1.19,1.9,2.7,2.28,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,29-04-2022,2156016WSTTL-VL,4L422022427142155,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.45,4.8,3,1.6,1,3,0.52,1,3,1.08,1,3,1.23,1.9,2.7,2.35,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,29-04-2022,2156016WSTTL-VL,4L4220224278530,IL,,,,,,,,,,4,0,9.52,,,,,,,7.5,10.5,10.12,7.5,3,1.96,1,3,0.39,1,3,0.55,1,3,0.93,1.36,1.72,1.55,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,29-04-2022,2156016WSTTL-VL,4L42202242785439,IL,190,310,258.708,45,75,66.6959,600,1100,929.352,,,,615,715,630.658,57,63,61,7.5,10.5,10.17,7.5,3,1.99,1,3,0.4,1,3,0.56,1,3,0.93,1.36,1.72,1.56,1,3,51.8,,,,36,46,40.7,,,,,,,10.5,14.5,12.33,6,10,7.82,2200,3200,2787.85
Test 2,29-04-2022,2156016WSTTL-VL,4L42202242714278,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.74,4.8,3,1.6,1,3,0.5,1,3,1.01,1,3,1.19,1.9,2.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Test 2,01-05-2022,2156016WSTTL-VL,4L422022427212851,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.58,7.5,3,1.79,1,3,0.41,1,3,0.63,1,3,0.92,1.36,1.72,1.53,,,,,,,,,,,,,,,1.095,,,,,,,,,
Test 2,01-05-2022,2156016WSTTL-VL,4L422022428214524,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.76,4.8,3,1.59,1,3,0.5,1,3,1,1,3,1.18,1.9,2.7,2.23,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,25565R18WAT-VMSRC2,4L422022414192729,Sidewall,,,,,,,,,,,,,,,,,,,8.5,11.5,11.08,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.101,,,,,,,,,
Control 2,20-04-2022,25565R18WAT-VMSRC2,4L422022414192729,Sidewall,,,,,,,,,,,,,,,,,,,8.5,11.5,11.08,8.5,,,,,,,,,,,,1.1,1.34,1.22,,,,,,,,,,,,,1.087,1.107,1.101,,,,,,,,,
Control 2,19-04-2022,25565R18WAT-VMSRC2,4L42202241420221,Sidewall,,,,,,,,,,,,,,,,,,,8.5,11.5,10.9,8.5,,,,,,,,,,,,1.1,1.34,1.23,,,,,,,,,,,,,1.087,1.107,1.095,,,,,,,,,
Control 2,20-04-2022,25565R18WAT-VMSRC2,4L42202241420221,Sidewall,,,,,,,,,,,,,,,,,,,8.5,11.5,10.9,8.5,,,,,,,,,,,,1.1,1.34,1.23,,,,,,,,,,,,,1.087,1.107,1.095,,,,,,,,,
Control 2,19-04-2022,25565R18WAT-VMSRC2,4L4220224115913,Sidewall,,,,,,,,,,6,0,7.92,,,,1,3,56,5.8,8.2,6.9,5.8,,,,,,,,,,,,1.2,1.6,1.6,1,3,51.8,,,,34,42,37.6,,,,,,1.088,16,20,16.2,10,14,9.75,,,
Control 2,20-04-2022,25565R18WAT-VMSRC2,4L4220224115913,Sidewall,,,,,,,,,,6,0,7.92,,,,1,3,56,5.8,8.2,6.9,5.8,,,,,,,,,,,,1.2,1.6,1.6,1,3,51.8,,,,34,42,37.6,,,,,,1.088,16,20,16.2,10,14,9.75,,,
Control 2,19-04-2022,25565R18WAT-VMSRC2,4L422022415131833,Sidewall,,,,,,,,,,,,,,,,,,,20.5,25.5,21.73,20.5,3,2.57,1,3,0.51,1,3,0.52,1,3,0.87,1.02,1.38,1.19,,,,,,,,,,,,,1.146,1.166,1.152,,,,,,,,,
Control 2,20-04-2022,25565R18WAT-VMSRC2,4L422022415131833,Sidewall,,,,,,,,,,,,,,,,,,,20.5,25.5,21.73,20.5,3,2.57,1,3,0.51,1,3,0.52,1,3,0.87,1.02,1.38,1.19,,,,,,,,,,,,,1.146,1.166,1.152,,,,,,,,,
Control 2,19-04-2022,25565R18WAT-VMSRC2,4L42202241513208,Sidewall,500,800,545.11,105,145,115.627,1,3,1925.22,,,,275,355,350.47,,,,20.5,25.5,23.08,20.5,3,2.61,1,3,0.51,1,3,0.5,1,3,0.86,1.02,1.38,1.16,1,3,70.6,,,,50,60,53.4,,,,1.146,1.166,1.149,14.5,18.5,15.95,11,15,12.23,2200,2800,2318.4
Control 2,20-04-2022,25565R18WAT-VMSRC2,4L42202241513208,Sidewall,500,800,545.11,105,145,115.627,1,3,1925.22,,,,275,355,350.47,,,,20.5,25.5,23.08,20.5,3,2.61,1,3,0.51,1,3,0.5,1,3,0.86,1.02,1.38,1.16,1,3,70.6,,,,50,60,53.4,,,,1.146,1.166,1.149,14.5,18.5,15.95,11,15,12.23,2200,2800,2318.4
Control 2,19-04-2022,P3-16350681-MCB,4L422022415172045,Cap,,,,,,,,,,,,,,,,,,,10.9,14.1,13.45,10.9,3,2.6,1,3,0.5,1,3,0.63,1,3,0.85,1.22,1.58,1.35,,,,,,,,,,,,,,,1.134,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L4220224174533,Cap,,,,,,,,,,,,,,,,,,,8.5,11.5,9.76,8.5,,,,,,,,,,,,1.2,1.44,1.41,,,,,,,,,,,,,1.087,1.107,1.098,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L4220224171565,Cap,,,,,,,,,,,,,,,,,,,10,14,13.06,10,3,2.09,1,3,0.36,1,3,0.42,1,3,0.54,0.66,0.9,0.74,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L422022414165342,Cap,,,,,,,,,,,,,,,,,,,12.5,15.5,15.05,12.5,,,,,,,,,,,,0.67,0.93,0.84,,,,,,,,,,66.5,72.5,68.5,,,,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L42202241825924,Cap,,,,,,,,,,,,,,,,,,,12,16,15.44,12,4,2.6,1,4,0.66,1,3,0.73,1,3,0.98,1.4,1.8,1.59,,,,,,,,,,46.5,52.5,49.67,1.144,1.164,1.152,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L42202241824618,Cap,,,,,,,,,,,,,,,,,,,12,16,15.33,12,4,2.55,1,4,0.67,1,3,0.75,1,3,1,1.4,1.8,1.6,,,,,,,,,,46.5,52.5,49.67,1.144,1.164,1.15,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L4220224183924,Cap,,,,,,,,,,,,,,,,,,,12,16,15.24,12,4,2.53,1,4,0.65,1,3,0.73,1,3,0.97,1.4,1.8,1.55,,,,,,,,,,46.5,52.5,49.49,1.144,1.164,1.15,,,,,,,,,
Control 2,19-04-2022,P3-16350681-MCB,4L4220224183818,Cap,,,,,,,,,,,,,,,,,,,12,16,14.96,12,4,2.53,1,4,0.66,1,3,0.74,1,3,0.99,1.4,1.8,1.59,1,3,69.2,,,,48,58,54.2,46.5,52.5,49.76,1.144,1.164,1.147,13.5,18.5,16.67,10.5,14.5,13.25,,,
