timeperiod,gt_date,Material,SubLotItemId,ComponentName,P100MOD_Lower_Spec,P100MOD_Upper_Spec,P100MOD_Actual,P10MOD_Lower_Spec,P10MOD_Upper_Spec,P10MOD_Actual,P300MOD_Lower_Spec,P300MOD_Upper_Spec,P300MOD_Actual,PDISP30X_Lower_Spec,PDISP30X_Upper_Spec,PDISP30X_Actual,PEB_Lower_Spec,PEB_Upper_Spec,PEB_Actual,PHARD_Lower_Spec,PHARD_Upper_Spec,PHARD_Actual,PMDRMH_Lower_Spec,PMDRMH_Upper_Spec,PMDRMH_Actual,PMDRML_Lower_Spec,PMDRML_Upper_Spec,PMDRML_Actual,PMDRT10_Lower_Spec,PMDRT10_Upper_Spec,PMDRT10_Actual,PMDRT2_Lower_Spec,PMDRT2_Upper_Spec,PMDRT2_Actual,PMDRT50_Lower_Spec,PMDRT50_Upper_Spec,PMDRT50_Actual,PMDRT90_Lower_Spec,PMDRT90_Upper_Spec,PMDRT90_Actual,PMIV_Lower_Spec,PMIV_Upper_Spec,PMIV_Actual,PML4_Lower_Spec,PML4_Upper_Spec,PML4_Actual,PMV_Lower_Spec,PMV_Upper_Spec,PMV_Actual,PRBRESIL_Lower_Spec,PRBRESIL_Upper_Spec,PRBRESIL_Actual,PSPGR_Lower_Spec,PSPGR_Upper_Spec,PSPGR_Actual,PT35_Lower_Spec,PT35_Upper_Spec,PT35_Actual,PT5_Lower_Spec,PT5_Upper_Spec,PT5_Actual,PTENSTG_Lower_Spec,PTENSTG_Upper_Spec,PTENSTG_Actual
Control 2,18-04-2022,2156016WSTTL-VL,4L42202241617122,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.44,4.8,3,1.53,1,3,0.5,1,3,1.05,1,3,1.22,1.9,2.7,2.31,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,2156016WSTTL-VL,4L42202241617122,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.44,4.8,3,1.53,1,3,0.5,1,3,1.05,1,3,1.22,1.9,2.7,2.31,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,18-04-2022,2156016WSTTL-VL,4L42202241617245,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.43,4.8,3,1.53,1,3,0.51,1,3,1.07,1,3,1.22,1.9,2.7,2.32,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,18-04-2022,2156016WSTTL-VL,4L422022417133834,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.04,7.5,3,1.93,1,3,0.42,1,3,0.63,1,3,0.95,1.36,1.72,1.58,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,2156016WSTTL-VL,4L422022417133834,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.04,7.5,3,1.93,1,3,0.42,1,3,0.63,1,3,0.95,1.36,1.72,1.58,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,18-04-2022,2156016WSTTL-VL,4L422022416165850,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.55,4.8,3,1.48,1,3,0.48,1,3,1,1,3,1.18,1.9,2.7,2.29,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,2156016WSTTL-VL,4L422022416165850,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.55,4.8,3,1.48,1,3,0.48,1,3,1,1,3,1.18,1.9,2.7,2.29,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,2156016WSTTL-VL,4L42202241713370,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.09,7.5,3,1.94,1,3,0.42,1,3,0.62,1,3,0.94,1.36,1.72,1.58,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L42202241713370,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.09,7.5,3,1.94,1,3,0.42,1,3,0.62,1,3,0.94,1.36,1.72,1.58,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,19-04-2022,2156016WSTTL-VL,4L422022416171854,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.49,4.8,3,1.47,1,3,0.51,1,3,1.03,1,3,1.19,1.9,2.7,2.28,,,,,,,,,,,,,,,1.201,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L422022416171854,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.49,4.8,3,1.47,1,3,0.51,1,3,1.03,1,3,1.19,1.9,2.7,2.28,,,,,,,,,,,,,,,1.201,,,,,,,,,
Control 2,19-04-2022,2156016WSTTL-VL,4L42202241616491,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.56,4.8,3,1.45,1,3,0.5,1,3,1.05,1,3,1.23,1.9,2.7,2.38,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L42202241616491,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.56,4.8,3,1.45,1,3,0.5,1,3,1.05,1,3,1.23,1.9,2.7,2.38,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L4220224181500,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.55,7.5,3,1.74,1,3,0.41,1,3,0.62,1,3,0.89,1.36,1.72,1.49,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L4220224181500,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.55,7.5,3,1.74,1,3,0.41,1,3,0.62,1,3,0.89,1.36,1.72,1.49,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L42202241913545,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.62,4.8,3,1.63,1,3,0.49,1,3,1.04,1,3,1.21,1.9,2.7,2.32,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L422022417133432,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,10.07,7.5,3,1.94,1,3,0.42,1,3,0.62,1,3,0.94,1.36,1.72,1.57,,,,,,,,,,,,,,,1.089,,,,,,,,,
Control 2,20-04-2022,2156016WSTTL-VL,4L42202241913318,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.51,4.8,3,1.64,1,3,0.49,1,3,1.05,1,3,1.21,1.9,2.7,2.34,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241913318,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.51,4.8,3,1.64,1,3,0.49,1,3,1.05,1,3,1.21,1.9,2.7,2.34,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L4220224191320,IL,200,310,219.379,60,80,61.3493,600,920,755.86,,,,615,715,673.387,,,,4.8,7.2,6.58,4.8,3,1.62,1,3,0.49,1,3,1.05,1,3,1.22,1.9,2.7,2.31,1,3,51.21,,,,39,49,42.05,,,,,,,15,19,18.54,7,10,8.92,2200,3200,2430.84
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241815651,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.96,7.5,3,1.87,1,3,0.41,1,3,0.62,1,3,0.91,1.36,1.72,1.52,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L42202241815651,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.96,7.5,3,1.87,1,3,0.41,1,3,0.62,1,3,0.91,1.36,1.72,1.52,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241922736,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.27,4.8,3,1.61,1,3,0.51,1,3,1.07,1,3,1.2,1.9,2.7,2.29,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241815929,IL,,,,,,,,,,,,,,,,,,,7.5,10.5,9.86,7.5,3,1.81,1,3,0.41,1,3,0.62,1,3,0.92,1.36,1.72,1.54,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L4220224191418,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.53,4.8,3,1.61,1,3,0.49,1,3,1.05,1,3,1.21,1.9,2.7,2.29,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241913415,IL,,,,,,,,,,,,,,,,57,63,59,7.5,10.5,9.62,7.5,3,1.94,1,3,0.41,1,3,0.65,1,3,0.98,1.36,1.72,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L42202241913415,IL,,,,,,,,,,,,,,,,57,63,59,7.5,10.5,9.62,7.5,3,1.94,1,3,0.41,1,3,0.65,1,3,0.98,1.36,1.72,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241922622,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.2,4.8,3,1.6,1,3,0.51,1,3,1.07,1,3,1.18,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L42202241922622,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.2,4.8,3,1.6,1,3,0.51,1,3,1.07,1,3,1.18,1.9,2.7,2.26,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,21-04-2022,2156016WSTTL-VL,4L42202241914324,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.38,4.8,3,1.54,1,3,0.49,1,3,1.06,1,3,1.21,1.9,2.7,2.3,,,,,,,,,,,,,,,1.198,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L422022421155839,IL,,,,,,,,,,,,,,,,57,63,60,7.5,10.5,9.6,7.5,3,1.88,1,3,0.42,1,3,0.68,1,3,0.98,1.36,1.72,1.57,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L422022421155839,IL,,,,,,,,,,,,,,,,57,63,60,7.5,10.5,9.6,7.5,3,1.88,1,3,0.42,1,3,0.68,1,3,0.98,1.36,1.72,1.57,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,22-04-2022,2156016WSTTL-VL,4L42202242011480,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.88,4.8,3,1.6,1,3,0.48,1,3,0.97,1,3,1.18,1.9,2.7,2.24,,,,,,,,,,,,,,,,,,,,,,,,
Control 2,23-04-2022,2156016WSTTL-VL,4L42202242011480,IL,,,,,,,,,,,,,,,,,,,4.8,7.2,6.88,4.8,3,1.6,1,3,0.48,1,3,0.97,1,3,1.18,1.9,2.7,2.24,,,,,,,,,,,,,,,,,,,,,,,,
